iter	Passed	Remaining
0	32	32154
1	66	32997
2	99	32946
3	134	33408
4	168	33463
5	198	32803
6	229	32575
7	262	32528
8	294	32417
9	328	32475
10	359	32364
11	390	32144
12	421	32001
13	453	31918
14	481	31642
15	511	31451
16	542	31347
17	569	31071
18	597	30837
19	627	30733
20	661	30817
21	689	30643
22	719	30550
23	750	30508
24	780	30450
25	810	30378
26	840	30275
27	869	30192
28	898	30088
29	933	30168
30	961	30061
31	990	29977
32	1021	29942
33	1052	29911
34	1084	29897
35	1114	29838
36	1144	29781
37	1172	29694
38	1202	29640
39	1232	29585
40	1260	29490
41	1291	29468
42	1318	29349
43	1350	29349
44	1379	29280
45	1408	29206
46	1437	29139
47	1466	29079
48	1496	29040
49	1529	29057
50	1557	28989
51	1586	28929
52	1613	28837
53	1647	28868
54	1679	28849
55	1709	28825
56	1738	28766
57	1767	28702
58	1795	28638
59	1828	28648
60	1858	28612
61	1887	28559
62	1914	28480
63	1941	28400
64	1974	28407
65	2000	28314
66	2031	28291
67	2060	28238
68	2090	28211
69	2120	28168
70	2151	28151
71	2179	28097
72	2209	28063
73	2237	27993
74	2264	27934
75	2295	27906
76	2324	27859
77	2351	27795
78	2381	27763
79	2408	27702
80	2438	27666
81	2466	27611
82	2496	27581
83	2525	27537
84	2554	27494
85	2582	27448
86	2612	27416
87	2637	27331
88	2667	27305
89	2696	27268
90	2726	27230
91	2751	27156
92	2779	27109
93	2807	27058
94	2836	27025
95	2862	26956
96	2889	26899
97	2916	26841
98	2944	26793
99	2970	26737
100	3001	26713
101	3027	26657
102	3056	26617
103	3083	26567
104	3111	26519
105	3142	26502
106	3169	26455
107	3197	26408
108	3227	26384
109	3252	26315
110	3279	26264
111	3306	26212
112	3336	26187
113	3361	26125
114	3388	26075
115	3416	26037
116	3443	25987
117	3472	25956
118	3504	25942
119	3531	25900
120	3559	25861
121	3586	25809
122	3614	25770
123	3642	25729
124	3669	25684
125	3697	25644
126	3727	25625
127	3756	25591
128	3786	25563
129	3818	25551
130	3844	25505
131	3871	25456
132	3897	25407
133	3926	25378
134	3957	25359
135	3987	25329
136	4019	25316
137	4045	25270
138	4074	25240
139	4103	25207
140	4131	25167
141	4156	25112
142	4187	25093
143	4216	25062
144	4244	25026
145	4274	25002
146	4299	24948
147	4329	24923
148	4358	24893
149	4386	24857
150	4414	24820
151	4442	24786
152	4468	24740
153	4497	24708
154	4526	24677
